ID;Abbrev;Name;Y;X;Z;Type
82;TAE;Aadorf / Tänikon;710517;259824;539;SwissMetNet
92;COM;Acquarossa / Comprovasc;714985;146451;575;SwissMetNet
63;ABO;Adelboden;609350;149001;1322;SwissMetNet
779;AIE;Affoltern i. E.;622940;212500;755;PrecipStation
37;AIG;Aigle;560405;130713;381;SwissMetNet
536;AIR;Airolo;688910;153400;1139;PrecipStation
44;ALT;Altdorf;690180;193564;438;SwissMetNet
359;ARH;Altenrhein;760382;261387;398;SwissMetNet
649;ALS;Altstätten, SG;759910;250202;430;PrecipStation
655;AMW;Amriswil;741796;268304;420;PrecipStation
405;AND;Andeer;752692;164038;987;SwissMetNet
10;ANT;Andermatt;687444;165044;1438;SwissMetNet
10107;VSANZ;Anzère;597607;128205;1614;PrecipStation
665;APP;Appenzell;748012;245040;750;PrecipStation
4309;VSARO;Arolla;603508;95832;2005;PrecipStation
1;ARO;Arosa;771030;184826;1878;SwissMetNet
4972;AGATT;Attelwil;646307;235106;475;PrecipStation
2;RAG;Bad Ragaz;756910;209351;496;SwissMetNet
10104;VSBAS;Baltschiedertal;633928;132421;1318;PrecipStation
853;BAN;Bantiger;606850;202975;942;SwissMetNet
4310;VSGDX;Barrage Grande Dixence;597255;103580;2162;PrecipStation
75;BAS;Basel / Binningen;610908;265611;316;SwissMetNet
433;BEY;Bellelay;579603;234880;923;PrecipStation
472;BLZ;Bellinzona;720913;116588;224;PrecipStation
103;BEP;Belp;605082;195001;510;PrecipStation
451;DOB;Benken / Doggen;715387;227540;408;PrecipStation
468;LAT;Bergün / Latsch;777273;166619;1408;SwissMetNet
78;BER;Bern / Zollikofen;601934;204410;553;SwissMetNet
835;BEC;Bernina / Curtinatsch;795795;146486;2090;PrecipStation
516;BEX;Bex;565806;121511;402;PrecipStation
85;BEZ;Beznau;659812;267696;326;SwissMetNet
415;BIA;Biasca;718550;132800;278;SwissMetNet
849;BIE;Bière;515888;153210;684;SwissMetNet
131;BIN;Binn;657996;135422;1479;SwissMetNet
666;BIZ;Bischofszell;735325;262285;470;SwissMetNet
409;BIV;Bivio;771282;148120;1856;SwissMetNet
20;BLA;Blatten, Lötschental;629564;141084;1538;SwissMetNet
4642;VSBLI;Blinnen;663085;145404;1530;PrecipStation
731;BOL;Boltigen;595831;163587;820;SwissMetNet
557;BOS;Bosco/Gurin;680879;130027;1486;PrecipStation
4647;VSBSP;Bourg-St-Pierre;581350;86251;1822;PrecipStation
268;BOU;Bouveret;555264;138175;374;SwissMetNet
800;UBB;Bözberg;652249;259223;536;PrecipStation
321;BRW;Braunwald;717942;199651;1299;PrecipStation
4311;VSBRI;Bricola;609887;99430;2431;PrecipStation
857;BRZ;Brienz;647552;176803;567;SwissMetNet
806;BRI;Brig;640567;129069;665;PrecipStation
462;BRT;Bristen;696223;180373;784;PrecipStation
4501;VSBRU;Bruchji;640999;136585;2300;PrecipStation
419;BRP;Brusio;806477;127184;856;PrecipStation
67;BUS;Buchs / Aarau;648396;248370;387;SwissMetNet
606;BUF;Buffalora;816494;170225;1968;SwissMetNet
77;FRE;Bullet / La Frétaz;534225;188081;1205;SwissMetNet
843;CEV;Cevio;689688;130565;417;SwissMetNet
162;CHZ;Cham;677758;226878;442;SwissMetNet
10109;VSCHY;Champéry;555392;112526;1055;PrecipStation
42;CHA;Chasseral;570845;220157;1599;SwissMetNet
13;CHD;Château-d'Oex;577041;147655;1028;SwissMetNet
15;CHM;Chaumont;565060;211006;1136;SwissMetNet
4646;VSCHO;Choëx;563181;120189;891;PrecipStation
27;CHU;Chur;759466;193153;556;SwissMetNet
87;CIM;Cimetta;704434;117458;1661;SwissMetNet
4320;VSCLU;Clusanfe;557237;109533;1926;PrecipStation
521;CDM;Col des Mosses;573818;137852;1412;SwissMetNet
62;GSB;Col du Grand St-Bernard;579192;79754;2472;SwissMetNet
229;COL;Coldrerio;721080;79235;347;PrecipStation
272;COS;Cossonay;527563;162465;590;PrecipStation
182;COY;Courtelary;573623;225597;695;SwissMetNet
436;COU;Couvet;540607;198345;728;PrecipStation
847;CMA;Crap Masegn;732820;189380;2480;SwissMetNet
844;CRM;Cressier;571163;210797;430;SwissMetNet
26;DAV;Davos;783518;187459;1594;SwissMetNet
6;DEM;Delémont;593270;244543;439;SwissMetNet
4497;VSDER;Derborence;584115;126364;1366;PrecipStation
456;DIT;Dietikon;672890;251865;384;PrecipStation
54;DIS;Disentis;708190;173794;1197;SwissMetNet
4494;VSDUR;Durnand;572572;100083;1214;PrecipStation
7;EBK;Ebnat-Kappel;726347;237177;623;SwissMetNet
867;EGH;Eggishorn;650279;141897;2893;SwissMetNet
854;EGO;Egolzwil;642913;225541;522;SwissMetNet
803;OED;Ehrendingen;667846;262266;428;PrecipStation
9;EIN;Einsiedeln;699983;221068;911;SwissMetNet
8;ELM;Elm;732265;198425;958;SwissMetNet
4315;VSEMO;Emosson;560664;101691;1923;PrecipStation
69;ENG;Engelberg;674161;186070;1036;SwissMetNet
404;ENT;Entlebuch;647935;204165;768;PrecipStation
4641;VSERG;Ergisch;621396;126882;1133;PrecipStation
426;ESZ;Eschenz;707865;278227;414;PrecipStation
865;EVI;Evionnaz;568197;114693;482;SwissMetNet
88;EVO;Evolène / Villa;605412;106748;1825;SwissMetNet
39;FAH;Fahy;562464;252675;596;SwissMetNet
540;FAI;Faido;704950;148266;747;PrecipStation
955;FIT;Fieschertal;653990;142082;1175;PrecipStation
4312;VSFIN;Findelen;626317;95547;2170;PrecipStation
384;FIO;Fionnay;589960;97765;1500;PrecipStation
244;FLW;Flawil;733050;252940;570;PrecipStation
711;FLU;Flühli, LU;644332;193311;940;SwissMetNet
14;GRA;Fribourg / Posieux;575184;180076;651;SwissMetNet
294;FRU;Frutigen;616774;160884;756;SwissMetNet
58;GVE;Genève / Cointrin;498905;122632;411;SwissMetNet
952;GES;Gersau;682510;205572;521;SwissMetNet
